"","Total.Compensation","GP","GS","G","A","SHTS","SOG","FS","OFF"
"216",96000,5,1,0,0,1,1,5,1
"217",96000,0,0,0,0,0,0,0,0
"218",72234,0,0,0,0,0,0,0,0
"219",619833,16,14,0,2,4,1,8,0
"220",54500,16,9,1,1,15,5,7,0
"221",180900,1,1,0,0,1,0,0,0
"222",274375,5,3,0,0,2,0,2,0
"223",130000,27,12,2,5,17,4,11,4
"224",67500,2,2,0,0,0,0,1,0
"225",67500,22,15,0,3,22,7,31,1
"226",260004,21,20,1,2,7,1,10,0
"227",68906,0,0,0,0,0,0,0,0
"228",67500,6,4,0,0,7,3,1,0
"229",115000,3,2,0,0,3,2,2,0
"230",105998,18,13,0,1,2,0,6,2
"231",156250,12,4,2,1,8,3,8,3
"232",263558,21,16,0,0,4,0,3,0
"233",126500,0,0,0,0,0,0,0,0
"234",126500,0,0,0,0,0,0,0,0
"235",375000,7,7,2,1,10,5,8,3
"236",1425000,26,19,4,3,21,10,65,3
"237",1425000,5,0,0,0,0,0,2,0
"238",100008,9,5,0,0,5,1,7,0
"239",148667,29,24,10,5,70,33,33,8
"240",1933333,14,9,3,2,23,9,19,12
"241",124243,12,2,0,0,0,0,6,0
"242",1100000,3,2,2,1,6,3,1,0
"243",1100000,30,27,6,9,52,17,20,9
"244",67500,0,0,0,0,0,0,0,0
"245",145000,0,0,0,0,0,0,0,0
"246",145000,6,4,0,0,3,1,2,0
"247",566671,31,27,3,4,17,6,46,0
"248",71136,0,0,0,0,0,0,0,0
"249",71136,14,13,3,5,24,9,13,3
"250",54500,0,0,0,0,0,0,0,0
"251",54500,0,0,0,0,0,0,0,0
"252",169000,0,0,0,0,0,0,0,0
"253",250008,22,20,1,0,14,3,15,2
"254",250008,5,5,2,1,4,2,4,0
"255",232650,9,7,0,0,1,0,2,0
"256",67500,9,1,0,0,4,0,7,1
"257",3e+05,27,24,0,1,9,1,9,3
"258",425000,14,12,0,2,11,2,5,1
"259",213750,2,2,0,0,1,0,0,0
"260",213750,7,6,0,0,0,0,2,0
"261",71500,3,2,1,0,2,1,2,3
"262",71500,0,0,0,0,0,0,0,0
"263",68254,0,0,0,0,0,0,0,0
"264",591258,31,17,5,5,38,19,26,7
"265",591258,2,0,1,0,3,2,2,0
"266",82504,7,1,1,1,8,1,2,0
"267",82504,0,0,0,0,0,0,0,0
"268",82000,1,0,0,0,0,0,0,0
"269",6e+06,14,10,3,2,25,9,12,2
"270",120000,0,0,0,0,0,0,0,0
"271",120000,0,0,0,0,0,0,0,0
"272",54500,0,0,0,0,0,0,0,0
"273",54500,2,2,0,0,1,0,0,0
"274",782102,34,34,2,7,57,19,35,3
"275",782102,4,4,0,0,4,1,5,0
"276",82500,8,6,0,0,1,0,0,0
"277",175008,11,10,1,3,5,2,11,1
"278",175008,5,5,0,0,4,1,4,0
"279",350000,24,23,3,1,21,8,11,1
"280",350000,2,2,0,0,2,0,1,1
"281",630000,33,33,19,0,88,40,33,20
"282",630000,3,3,1,0,7,3,2,2
"283",54500,12,6,2,1,10,2,6,2
"284",54500,1,0,0,0,1,0,0,0
"285",545004,30,29,2,7,44,9,7,0
"286",300663,21,21,0,0,0,0,15,0
"287",335600,3,3,0,1,2,0,1,0
"288",335600,32,32,2,6,56,13,21,15
"289",69458,4,1,0,0,1,0,0,0
"290",175000,19,15,3,3,28,9,18,3
"291",175000,2,1,0,0,2,1,0,0
"292",159996,11,7,0,1,4,3,3,0
"293",159996,1,0,0,0,0,0,0,0
"294",770750,28,21,7,9,68,28,12,8
"295",770750,5,0,1,0,8,4,1,1
"296",55650,5,1,0,0,3,1,2,1
"297",55650,0,0,0,0,0,0,0,0
"298",82574,0,0,0,0,0,0,0,0
"299",137738,8,4,0,1,0,0,1,0
"300",4713333,32,32,16,13,95,32,78,22
"301",342917,31,31,3,2,23,6,16,0
"302",342917,4,4,0,0,2,1,2,1
"303",330008,34,34,4,4,45,14,34,0
"304",330008,4,4,1,0,4,2,2,0
"305",72500,3,0,0,0,1,0,0,0
"306",68256,0,0,0,0,0,0,0,0
"307",68256,0,0,0,0,0,0,0,0
"308",59630,17,16,2,0,7,3,9,0
"309",68906,22,13,2,1,20,9,30,8
"310",407500,31,31,1,4,21,8,12,0
"311",196000,21,15,0,3,15,2,14,0
"312",56500,0,0,0,0,0,0,0,0
"313",75750,16,10,1,1,8,4,28,0
"314",539996,19,11,3,0,18,6,7,2
"315",75000,5,5,0,0,0,0,2,1
"316",90000,31,29,0,1,11,3,10,1
"317",87500,0,0,0,0,0,0,0,0
"318",75333,0,0,0,0,0,0,0,0
"319",75333,3,3,0,0,3,1,3,0
"320",124996,2,0,0,0,0,0,0,0
"321",92500,7,7,0,1,2,0,2,0
"322",67500,10,7,0,0,1,0,4,0
"323",117500,22,10,3,1,25,9,6,0
"324",623341,8,1,2,0,6,4,3,0
"325",67504,7,6,0,1,5,1,2,0
"326",67504,0,0,0,0,0,0,0,0
"327",210000,4,4,0,1,2,0,4,0
"328",210000,34,33,1,2,24,4,14,1
"329",398688,32,32,7,11,78,31,70,18
"330",398688,3,3,0,0,4,2,5,0
"331",2e+05,19,10,4,0,28,11,4,5
"332",203000,6,6,1,1,6,4,5,0
"333",203000,9,5,2,2,12,3,4,4
"334",219167,14,13,0,1,2,0,3,1
"335",54500,1,0,0,0,2,0,0,0
"336",770833,2,1,0,0,0,0,2,0
"337",770833,28,21,6,7,46,13,23,5
"338",67500,15,11,0,0,9,1,2,0
"339",816667,23,19,4,3,40,12,14,8
